block,bid_price_eur_mwh,bid_x_P_accept_eur_mwh
00-04,0.69,0.6881095890410959
00-04,0.78,0.7757260273972603
00-04,0.79,0.7835068493150685
00-04,0.8,0.7912328767123289
00-04,1.0,0.9863013698630136
00-04,1.0,0.9835616438356164
00-04,1.01,0.9906301369863013
00-04,1.08,1.0563287671232877
00-04,1.09,1.0631232876712329
00-04,1.19,1.1573972602739726
00-04,1.4,1.357808219178082
00-04,1.5,1.4506849315068493
00-04,1.5,1.4465753424657535
00-04,1.52,1.4616986301369863
00-04,1.53,1.467123287671233
00-04,1.56,1.4916164383561643
00-04,1.58,1.5064109589041097
00-04,1.6,1.521095890410959
00-04,1.7,1.6115068493150684
00-04,1.74,1.6446575342465752
00-04,1.77,1.668164383561644
00-04,1.78,1.6727123287671233
00-04,1.8,1.6865753424657535
00-04,1.88,1.7563835616438357
00-04,1.9,1.76986301369863
00-04,1.9,1.7646575342465751
00-04,1.9,1.7594520547945205
00-04,1.9,1.7542465753424656
00-04,1.9,1.7490410958904108
00-04,1.94,1.7805479452054793
00-04,1.95,1.7843835616438357
00-04,1.95,1.779041095890411
00-04,1.95,1.7736986301369864
00-04,1.96,1.7774246575342465
00-04,2.0,1.808219178082192
00-04,2.0,1.8027397260273972
00-04,2.02,1.8152328767123287
00-04,2.04,1.8276164383561644
00-04,2.05,1.8309589041095888
00-04,2.06,1.8342465753424657
00-04,2.11,1.8729863013698629
00-04,2.13,1.884904109589041
00-04,2.14,1.8878904109589043
00-04,2.16,1.8996164383561647
00-04,2.19,1.92
00-04,2.2,1.9227397260273973
00-04,2.21,1.9254246575342464
00-04,2.27,1.9714794520547945
00-04,2.28,1.973917808219178
00-04,2.3,1.984931506849315
00-04,2.37,2.0388493150684934
00-04,2.38,2.040931506849315
00-04,2.39,2.042958904109589
00-04,2.4,2.044931506849315
00-04,2.4,2.0383561643835617
00-04,2.42,2.048712328767123
00-04,2.44,2.058958904109589
00-04,2.44,2.0522739726027397
00-04,2.46,2.0623561643835617
00-04,2.47,2.0639726027397263
00-04,2.48,2.0655342465753423
00-04,2.49,2.0670410958904113
00-04,2.5,2.0684931506849313
00-04,2.52,2.07813698630137
00-04,2.53,2.0794520547945203
00-04,2.54,2.0807123287671234
00-04,2.55,2.081917808219178
00-04,2.59,2.1074794520547946
00-04,2.6,2.1084931506849314
00-04,2.6,2.1013698630136988
00-04,2.6,2.0942465753424657
00-04,2.64,2.1192328767123287
00-04,2.65,2.12
00-04,2.67,2.1286849315068492
00-04,2.7,2.145205479452055
00-04,2.72,2.1536438356164385
00-04,2.72,2.1461917808219177
00-04,2.76,2.1701917808219178
00-04,2.78,2.1783013698630134
00-04,2.78,2.170684931506849
00-04,2.81,2.18641095890411
00-04,2.82,2.1864657534246574
00-04,2.84,2.1941917808219173
00-04,2.88,2.217205479452055
00-04,2.9,2.224657534246575
00-04,2.9,2.216712328767123
00-04,2.92,2.2239999999999998
00-04,2.93,2.2235890410958907
00-04,2.93,2.2155616438356165
00-04,2.97,2.2376712328767123
00-04,2.98,2.2370410958904112
00-04,3.0,2.243835616438356
00-04,3.0,2.2356164383561645
00-04,3.0,2.2273972602739724
00-04,3.0,2.219178082191781
00-04,3.0,2.2109589041095887
00-04,3.0,2.202739726027397
00-04,3.0,2.1945205479452055
00-04,3.0,2.186301369863014
00-04,3.02,2.1926027397260275
00-04,3.02,2.184328767123288
00-04,3.02,2.176054794520548
00-04,3.07,2.203671232876712
00-04,3.07,2.1952602739726026
00-04,3.12,2.2224657534246575
00-04,3.15,2.235205479452055
00-04,3.17,2.240712328767123
00-04,3.19,2.246109589041096
00-04,3.23,2.2654246575342465
00-04,3.24,2.2635616438356165
00-04,3.26,2.2686027397260276
00-04,3.3,2.287397260273972
00-04,3.31,2.285260273972603
00-04,3.33,2.289945205479452
00-04,3.34,2.2876712328767126
00-04,3.34,2.278520547945205
00-04,3.43,2.3305205479452056
00-04,3.44,2.3278904109589043
00-04,3.45,2.325205479452055
00-04,3.47,2.329178082191781
00-04,3.47,2.319671232876712
00-04,3.47,2.310164383561644
00-04,3.48,2.3072876712328765
00-04,3.48,2.2977534246575346
00-04,3.5,2.3013698630136985
00-04,3.5,2.291780821917808
00-04,3.51,2.288712328767123
00-04,3.53,2.2920821917808216
00-04,3.55,2.2953424657534245
00-04,3.56,2.292054794520548
00-04,3.57,2.288712328767123
00-04,3.57,2.2789315068493146
00-04,3.6,2.288219178082192
00-04,3.6,2.2783561643835615
00-04,3.68,2.3189041095890417
00-04,3.71,2.3276438356164384
00-04,3.77,2.354958904109589
00-04,3.78,2.350849315068493
00-04,3.78,2.3404931506849316
00-04,3.8,2.3424657534246576
00-04,3.8,2.3320547945205474
00-04,3.81,2.3277534246575344
00-04,3.81,2.3173150684931505
00-04,3.84,2.3250410958904113
00-04,3.85,2.3205479452054796
00-04,3.9,2.34
00-04,3.93,2.347232876712329
00-04,4.0,2.378082191780822
00-04,4.0,2.367123287671233
00-04,4.0,2.356164383561644
00-04,4.0,2.345205479452055
00-04,4.06,2.369260273972602
00-04,4.09,2.3755616438356166
00-04,4.12,2.3816986301369862
00-04,4.19,2.4106849315068497
00-04,4.19,2.3992054794520548
00-04,4.23,2.4105205479452056
00-04,4.3,2.4386301369863013
00-04,4.36,2.4607123287671233
00-04,4.39,2.4656164383561645
00-04,4.4,2.4591780821917806
00-04,4.41,2.4526849315068495
00-04,4.42,2.4461369863013696
00-04,4.42,2.4340273972602744
00-04,4.47,2.4493150684931506
00-04,4.47,2.4370684931506847
00-04,4.5,2.441095890410959
00-04,4.55,2.455753424657534
00-04,4.6,2.4701369863013696
00-04,4.65,2.484246575342466
00-04,4.73,2.5140273972602745
00-04,4.78,2.5275068493150683
00-04,4.81,2.530191780821918
00-04,4.82,2.5222465753424657
00-04,4.88,2.54027397260274
00-04,4.91,2.5424383561643835
00-04,5.0,2.5753424657534247
00-04,5.0,2.5616438356164384
00-04,5.0,2.547945205479452
00-04,5.1,2.584931506849315
00-04,5.15,2.5961643835616437
00-04,5.19,2.6021095890410963
00-04,5.28,2.632767123287671
00-04,5.39,2.672849315068493
00-04,5.46,2.692602739726027
00-04,5.47,2.6825479452054792
00-04,5.48,2.672438356164384
00-04,5.5,2.6671232876712327
00-04,5.59,2.6954520547945204
00-04,5.66,2.7136986301369865
00-04,5.7,2.717260273972603
00-04,5.71,2.706383561643836
00-04,5.78,2.72372602739726
00-04,5.8,2.7172602739726024
00-04,5.82,2.710684931506849
00-04,5.82,2.694739726027397
00-04,5.9,2.7156164383561645
00-04,5.98,2.7360547945205482
00-04,6.0,2.728767123287671
00-04,6.11,2.7620547945205485
00-04,6.17,2.77227397260274
00-04,6.19,2.764301369863014
00-04,6.23,2.765095890410959
00-04,6.25,2.756849315068493
00-04,6.26,2.744109589041096
00-04,6.29,2.740027397260274
00-04,6.5,2.813698630136986
00-04,6.53,2.8087945205479454
00-04,6.59,2.8165479452054796
00-04,6.66,2.828219178082192
00-04,6.66,2.8099726027397263
00-04,6.83,2.8629863013698635
00-04,6.91,2.87758904109589
00-04,7.0,2.895890410958904
00-04,7.0,2.8767123287671232
00-04,7.0,2.8575342465753426
00-04,7.0,2.8383561643835615
00-04,7.05,2.8393150684931507
00-04,7.07,2.8280000000000003
00-04,7.19,2.856301369863014
00-04,7.2,2.84054794520548
00-04,7.29,2.8560821917808217
00-04,7.3,2.8399999999999994
00-04,7.37,2.8470410958904107
00-04,7.39,2.834520547945205
00-04,7.68,2.9247123287671233
00-04,7.8,2.949041095890411
00-04,7.84,2.9426849315068493
00-04,7.89,2.9398356164383563
00-04,7.94,2.9367123287671237
00-04,7.98,2.9296438356164387
00-04,8.0,2.9150684931506845
00-04,8.0,2.8931506849315065
00-04,8.06,2.8927671232876713
00-04,8.23,2.9312328767123286
00-04,8.25,2.915753424657534
00-04,8.47,2.970301369863014
00-04,8.86,3.082794520547945
00-04,8.97,3.096493150684932
00-04,9.0,3.082191780821918
00-04,9.06,3.0779178082191785
00-04,9.09,3.0632054794520545
00-04,9.12,3.048328767123287
00-04,9.27,3.0730684931506844
00-04,9.39,3.0871232876712327
00-04,9.57,3.120082191780822
00-04,9.64,3.116493150684932
00-04,10.0,3.205479452054795
00-04,10.31,3.276602739726028
00-04,10.81,3.4058904109589045
00-04,10.9,3.404383561643836
00-04,10.92,3.380712328767123
00-04,11.22,3.442849315068493
00-04,11.47,3.48813698630137
00-04,11.53,3.474794520547945
00-04,11.76,3.511890410958904
00-04,12.0,3.5506849315068494
00-04,12.0,3.5178082191780824
00-04,12.06,3.502356164383562
00-04,12.13,3.4894520547945214
00-04,12.14,3.459068493150686
00-04,12.17,3.434273972602739
00-04,12.34,3.448438356164383
00-04,12.47,3.450602739726027
00-04,12.5,3.4246575342465753
00-04,12.95,3.5124657534246575
00-04,13.02,3.4957808219178084
00-04,13.03,3.462767123287671
00-04,13.04,3.4296986301369863
00-04,13.07,3.401780821917809
00-04,13.07,3.3659726027397268
00-04,13.13,3.34545205479452
00-04,13.27,3.344767123287671
00-04,13.57,3.3832054794520547
00-04,13.59,3.350958904109589
00-04,13.69,3.3381095890410957
00-04,14.0,3.375342465753425
00-04,14.04,3.3465205479452056
00-04,14.68,3.4588493150684934
00-04,15.0,3.4931506849315075
00-04,15.0,3.452054794520549
00-04,15.0,3.4109589041095885
00-04,15.0,3.3698630136986294
00-04,15.45,3.428630136986301
00-04,15.46,3.3884931506849316
00-04,16.12,3.4889863013698634
00-04,16.43,3.511068493150685
00-04,19.69,4.153780821917809
00-04,19.8,4.122739726027398
00-04,19.93,4.095205479452056
00-04,19.93,4.040602739726029
00-04,20.0,3.999999999999999
00-04,20.15,3.9747945205479445
00-04,20.84,4.053808219178082
00-04,20.87,4.002465753424658
00-04,22.0,4.1589041095890416
00-04,22.1,4.117260273972604
00-04,23.49,4.3118630136986305
00-04,23.85,4.312602739726028
00-04,24.61,4.382602739726028
00-04,25.0,4.383561643835615
00-04,25.3,4.366849315068492
00-04,26.05,4.4249315068493145
00-04,26.93,4.500630136986301
00-04,27.67,4.548493150684932
00-04,28.65,4.6310958904109585
00-04,28.75,4.568493150684932
00-04,28.76,4.491287671232878
00-04,28.85,4.426301369863015
00-04,30.7,4.626027397260275
00-04,31.25,4.623287671232875
00-04,31.49,4.572520547945204
00-04,31.58,4.499068493150684
00-04,32.96,4.605369863013698
00-04,33.15,4.541095890410959
00-04,33.34,4.475780821917809
00-04,33.88,4.455452054794521
00-04,34.1,4.39095890410959
00-04,35.05,4.4172602739726035
00-04,35.84,4.4186301369863035
00-04,37.26,4.4916164383561625
00-04,38.99,4.593342465753423
00-04,39.12,4.501479452054793
00-04,39.85,4.476301369863013
00-04,39.87,4.36931506849315
00-04,40.0,4.273972602739726
00-04,40.0,4.164383561643836
00-04,40.93,4.149068493150686
00-04,42.69,4.210520547945207
00-04,43.01,4.124246575342467
00-04,44.0,4.0986301369863
00-04,45.0,4.06849315068493
00-04,45.35,3.975890410958903
00-04,46.54,3.9527123287671224
00-04,46.74,3.841643835616438
00-04,46.84,3.721534246575343
00-04,48.15,3.693698630136987
00-04,48.75,3.6061643835616453
00-04,49.87,3.5523835616438375
00-04,50.0,3.424657534246578
00-04,50.31,3.3080547945205456
00-04,50.65,3.1916438356164365
00-04,51.0,3.0739726027397247
00-04,51.49,2.962438356164383
00-04,53.0,2.904109589041096
00-04,53.88,2.804712328767124
00-04,58.19,2.8696438356164395
00-04,61.22,2.8513424657534263
00-04,70.45,3.088219178082195
00-04,71.37,2.933013698630141
00-04,100.0,3.8356164383561597
00-04,101.84,3.627178082191777
00-04,102.8,3.3797260273972576
00-04,140.09,4.221890410958903
00-04,147.24,4.033972602739726
00-04,150.0,3.698630136986303
00-04,165.17,3.620164383561647
00-04,195.76,3.7543013698630197
