block,bid_price_eur_mwh,P_accept
00-04,0.69,0.9972602739726028
00-04,0.78,0.9945205479452055
00-04,0.79,0.9917808219178083
00-04,0.8,0.989041095890411
00-04,1.0,0.9863013698630136
00-04,1.0,0.9835616438356164
00-04,1.01,0.9808219178082191
00-04,1.08,0.9780821917808219
00-04,1.09,0.9753424657534246
00-04,1.19,0.9726027397260274
00-04,1.4,0.9698630136986301
00-04,1.5,0.9671232876712329
00-04,1.5,0.9643835616438357
00-04,1.52,0.9616438356164384
00-04,1.53,0.9589041095890412
00-04,1.56,0.9561643835616438
00-04,1.58,0.9534246575342465
00-04,1.6,0.9506849315068493
00-04,1.7,0.947945205479452
00-04,1.74,0.9452054794520548
00-04,1.77,0.9424657534246575
00-04,1.78,0.9397260273972603
00-04,1.8,0.936986301369863
00-04,1.88,0.9342465753424658
00-04,1.9,0.9315068493150684
00-04,1.9,0.9287671232876712
00-04,1.9,0.9260273972602739
00-04,1.9,0.9232876712328767
00-04,1.9,0.9205479452054794
00-04,1.94,0.9178082191780822
00-04,1.95,0.915068493150685
00-04,1.95,0.9123287671232877
00-04,1.95,0.9095890410958904
00-04,1.96,0.9068493150684931
00-04,2.0,0.904109589041096
00-04,2.0,0.9013698630136986
00-04,2.02,0.8986301369863013
00-04,2.04,0.8958904109589041
00-04,2.05,0.8931506849315068
00-04,2.06,0.8904109589041096
00-04,2.11,0.8876712328767123
00-04,2.13,0.8849315068493151
00-04,2.14,0.8821917808219178
00-04,2.16,0.8794520547945206
00-04,2.19,0.8767123287671232
00-04,2.2,0.873972602739726
00-04,2.21,0.8712328767123287
00-04,2.27,0.8684931506849315
00-04,2.28,0.8657534246575342
00-04,2.3,0.863013698630137
00-04,2.37,0.8602739726027397
00-04,2.38,0.8575342465753425
00-04,2.39,0.8547945205479452
00-04,2.4,0.8520547945205479
00-04,2.4,0.8493150684931507
00-04,2.42,0.8465753424657534
00-04,2.44,0.8438356164383561
00-04,2.44,0.8410958904109589
00-04,2.46,0.8383561643835616
00-04,2.47,0.8356164383561644
00-04,2.48,0.8328767123287671
00-04,2.49,0.8301369863013699
00-04,2.5,0.8273972602739725
00-04,2.52,0.8246575342465754
00-04,2.53,0.821917808219178
00-04,2.54,0.8191780821917808
00-04,2.55,0.8164383561643835
00-04,2.59,0.8136986301369863
00-04,2.6,0.810958904109589
00-04,2.6,0.8082191780821918
00-04,2.6,0.8054794520547945
00-04,2.64,0.8027397260273973
00-04,2.65,0.8
00-04,2.67,0.7972602739726027
00-04,2.7,0.7945205479452055
00-04,2.72,0.7917808219178082
00-04,2.72,0.7890410958904109
00-04,2.76,0.7863013698630137
00-04,2.78,0.7835616438356164
00-04,2.78,0.7808219178082192
00-04,2.81,0.7780821917808219
00-04,2.82,0.7753424657534247
00-04,2.84,0.7726027397260273
00-04,2.88,0.7698630136986302
00-04,2.9,0.7671232876712328
00-04,2.9,0.7643835616438356
00-04,2.92,0.7616438356164383
00-04,2.93,0.7589041095890411
00-04,2.93,0.7561643835616438
00-04,2.97,0.7534246575342466
00-04,2.98,0.7506849315068493
00-04,3.0,0.747945205479452
00-04,3.0,0.7452054794520548
