block,bid_price_eur_mwh,P_accept
00-04,2.44,0.9972602739726028
00-04,2.57,0.9945205479452055
00-04,2.66,0.9917808219178083
00-04,2.8,0.989041095890411
00-04,2.96,0.9863013698630136
00-04,2.99,0.9835616438356164
00-04,3.3,0.9808219178082191
00-04,3.32,0.9780821917808219
00-04,3.5,0.9753424657534246
00-04,3.5,0.9726027397260274
00-04,3.74,0.9698630136986301
00-04,3.86,0.9671232876712329
00-04,4.0,0.9643835616438357
00-04,4.0,0.9616438356164384
00-04,4.0,0.9589041095890412
00-04,4.0,0.9561643835616438
00-04,4.0,0.9534246575342465
00-04,4.2,0.9506849315068493
00-04,4.31,0.947945205479452
00-04,4.44,0.9452054794520548
00-04,4.5,0.9424657534246575
00-04,4.79,0.9397260273972603
00-04,4.8,0.936986301369863
00-04,4.8,0.9342465753424658
00-04,5.0,0.9315068493150684
00-04,5.0,0.9287671232876712
00-04,5.0,0.9260273972602739
00-04,5.0,0.9232876712328767
00-04,5.2,0.9205479452054794
00-04,5.23,0.9178082191780822
00-04,5.23,0.915068493150685
00-04,5.5,0.9123287671232877
00-04,5.52,0.9095890410958904
00-04,5.56,0.9068493150684931
00-04,5.68,0.904109589041096
00-04,5.71,0.9013698630136986
00-04,5.72,0.8986301369863013
00-04,5.87,0.8958904109589041
00-04,5.99,0.8931506849315068
00-04,6.0,0.8904109589041096
00-04,6.0,0.8876712328767123
00-04,6.0,0.8849315068493151
00-04,6.0,0.8821917808219178
00-04,6.0,0.8794520547945206
00-04,6.0,0.8767123287671232
00-04,6.07,0.873972602739726
00-04,6.16,0.8712328767123287
00-04,6.16,0.8684931506849315
00-04,6.16,0.8657534246575342
00-04,6.28,0.863013698630137
00-04,6.31,0.8602739726027397
00-04,6.38,0.8575342465753425
00-04,6.5,0.8547945205479452
00-04,6.5,0.8520547945205479
00-04,6.5,0.8493150684931507
00-04,6.52,0.8465753424657534
00-04,6.56,0.8438356164383561
00-04,6.68,0.8410958904109589
00-04,6.7,0.8383561643835616
00-04,6.7,0.8356164383561644
00-04,6.71,0.8328767123287671
00-04,6.83,0.8301369863013699
00-04,6.86,0.8273972602739725
00-04,6.87,0.8246575342465754
00-04,7.0,0.821917808219178
00-04,7.0,0.8191780821917808
00-04,7.0,0.8164383561643835
00-04,7.0,0.8136986301369863
00-04,7.0,0.810958904109589
00-04,7.03,0.8082191780821918
00-04,7.03,0.8054794520547945
00-04,7.05,0.8027397260273973
00-04,7.05,0.8
00-04,7.06,0.7972602739726027
00-04,7.15,0.7945205479452055
00-04,7.18,0.7917808219178082
00-04,7.2,0.7890410958904109
00-04,7.2,0.7863013698630137
00-04,7.2,0.7835616438356164
00-04,7.24,0.7808219178082192
00-04,7.25,0.7780821917808219
00-04,7.34,0.7753424657534247
00-04,7.5,0.7726027397260273
00-04,7.53,0.7698630136986302
00-04,7.56,0.7671232876712328
00-04,7.64,0.7643835616438356
00-04,7.72,0.7616438356164383
00-04,7.83,0.7589041095890411
00-04,7.88,0.7561643835616438
00-04,7.9,0.7534246575342466
00-04,7.9,0.7506849315068493
00-04,7.9,0.747945205479452
00-04,7.95,0.7452054794520548
00-04,8.0,0.7424657534246575
00-04,8.0,0.7397260273972603
00-04,8.0,0.736986301369863
00-04,8.0,0.7342465753424657
00-04,8.0,0.7315068493150685
00-04,8.0,0.7287671232876712
00-04,8.0,0.726027397260274
00-04,8.0,0.7232876712328767
00-04,8.06,0.7205479452054795
00-04,8.06,0.7178082191780821
00-04,8.1,0.715068493150685
00-04,8.1,0.7123287671232876
00-04,8.2,0.7095890410958905
00-04,8.3,0.7068493150684931
00-04,8.44,0.7041095890410959
00-04,8.5,0.7013698630136986
00-04,8.63,0.6986301369863014
00-04,8.68,0.6958904109589041
00-04,8.71,0.6931506849315068
00-04,8.75,0.6904109589041096
00-04,8.75,0.6876712328767123
00-04,8.76,0.6849315068493151
00-04,8.8,0.6821917808219178
00-04,8.8,0.6794520547945205
00-04,8.89,0.6767123287671233
00-04,8.99,0.673972602739726
00-04,9.0,0.6712328767123288
00-04,9.0,0.6684931506849314
00-04,9.03,0.6657534246575343
00-04,9.1,0.6630136986301369
00-04,9.16,0.6602739726027398
00-04,9.21,0.6575342465753424
00-04,9.29,0.6547945205479452
